slot,name,category,write_condition,source_reference_lines,static_reverse_physical_path,dynamic_noninterference_status
1,PHYSICAL_SLOT_1,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1109;1225;1644;1645;1705;2140;4750;5214;10424,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
2,PHYSICAL_SLOT_2,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1226;1647;1648;1706;2141;4751;5215;10425,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
3,PHYSICAL_SLOT_3,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,2142;10426,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
4,PHYSICAL_SLOT_4,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1650;1651;1707;1869;1945;2143;4752;5216;10427,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
5,PHYSICAL_SLOT_5,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1109;1653;1654;1708;1945;1989;2144;4753;5217;10428,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
6,PHYSICAL_SLOT_6,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1227;1656;1657;1710;2089;2145;2165;4754;5218;10429,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
7,PHYSICAL_SLOT_7,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,2146;10430,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
8,PHYSICAL_SLOT_8,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1659;1660;1709;2147;4755;5219;10431,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
9,PHYSICAL_SLOT_9,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,2148;10432,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
10,PHYSICAL_SLOT_10,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1114;1662;1663;1711;2149;2166;4756;5221;10433,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
11,PHYSICAL_SLOT_11,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1115;1665;1666;1712;2150;2167;4757;5222;10434,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
12,PHYSICAL_SLOT_12,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1116;1668;1669;1713;2151;2168;4758;5223;10435,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
13,PHYSICAL_SLOT_13,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1108;2137;2152;2305;2307;4759;10436,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
14,PHYSICAL_SLOT_14,PHYSICAL_OR_CLOSURE_CANDIDATE,EVERY_CANDIDATE_BUILD,1109;2138;2153;2306;2308;10437,PHYSICAL_PATH_PRESENT_BY_DESIGN,PARTIAL_REGISTERED_PATHS_ONLY
15,DBG_DETJ,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2193,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
16,DBG_EPSXX,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2194,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
17,DBG_EPSYY,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2195,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
18,DBG_GXY,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2196,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
19,DBG_SIGXX,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2197,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
20,DBG_SIGYY,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2198,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
21,DBG_SIGXY,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2199,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
22,DBG_SM,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2200,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
23,DBG_RU5,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2201,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
24,DBG_RU8,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2202,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
25,DBG_K55,CONDITIONAL_MECHANICS_DIAGNOSTIC,DBG_MECH_TRUE,2203,NO_REFERENCE_IN_RHS_AMATRX_OR_SLOTS_1_14_FOUND,PARTIAL_REGISTERED_PATHS_ONLY
