run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,observed_slope,residual_characteristic_scale,scaled_norm_fd,scaled_norm_kv,scaled_absolute_error_l2,scaled_absolute_error_inf,row_classification,series_classification
run1,BETA_MIN_NEG,KPS,D1,.1000000000000000E-01,-1,I3B_5,I3B_5,.1631502460877203E-03,.1631502460877244E-03,.1047466573809574E-16,.6420257394195783E-13,.8836247705756861E-17,.7895136007870304E-13,.9999999999999999,1,1,1,1,0,,1.00000000000000000e+00,1.63150246087720305e-04,1.63150246087724398e-04,1.04746657380957403e-17,8.83624770575686114e-18,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.3000000000000000E-02,-1,I3B_5,I3B_5,.1631502460877395E-03,.1631502460877244E-03,.2994934797209019E-16,.1835691253323879E-12,.2520770051028798E-16,.2252293401017779E-12,1.000000000000000,1,1,1,1,0,-8.72567881223865749e-01,1.00000000000000000e+00,1.63150246087739496e-04,1.63150246087724398e-04,2.99493479720901900e-17,2.52077005102879812e-17,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.1000000000000000E-02,-1,I3B_5,I3B_5,.1631502460879100E-03,.1631502460877244E-03,.1913268223430179E-15,.1172703240912831E-11,.1336279177588384E-15,.1193957684624397E-11,.9999999999999999,1,1,1,1,0,-1.68801636651817555e+00,1.00000000000000000e+00,1.63150246087910014e-04,1.63150246087724398e-04,1.91326822343017888e-16,1.33627917758838397e-16,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.3000000000000000E-03,-1,I3B_5,I3B_5,.1631502460883191E-03,.1631502460877244E-03,.7676191679536475E-15,.4704983206326932E-11,.7480181838520616E-15,.6683499030912497E-11,1.000000000000000,1,1,1,1,0,-1.15393857120561760e+00,1.00000000000000000e+00,1.63150246088319110e-04,1.63150246087724398e-04,7.67619167953647469e-16,7.48018183852061647e-16,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.1000000000000000E-03,-1,I3B_5,I3B_5,.1631502460867386E-03,.1631502460877244E-03,.1149642095792400E-14,.7046523823042519E-11,.1058994471975216E-14,.9462054105138099E-11,1.000000000000000,1,1,1,1,0,-3.67656743815368503e-01,1.00000000000000000e+00,1.63150246086738587e-04,1.63150246087724398e-04,1.14964209579240003e-15,1.05899447197521606e-15,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.3000000000000000E-04,-1,I3B_5,I3B_5,.1631502460853750E-03,.1631502460877244E-03,.3323145369956993E-14,.2036862002751848E-10,.3046865602700233E-14,.2722356721094244E-10,1.000000000000000,1,1,1,1,0,-8.81632091952185948e-01,1.00000000000000000e+00,1.63150246085375013e-04,1.63150246087724398e-04,3.32314536995699290e-15,3.04686560270023316e-15,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.1000000000000000E-04,-1,I3B_5,I3B_5,.1631502460943620E-03,.1631502460877244E-03,.9301213682037066E-14,.5701011126061970E-10,.7343396181934414E-14,.6561281840760645E-10,1.000000000000000,1,1,1,1,0,-9.36848395642685183e-01,1.00000000000000000e+00,1.63150246094361992e-04,1.63150246087724398e-04,9.30121368203706571e-15,7.34339618193441401e-15,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.3000000000000000E-05,-1,I3B_5,I3B_5,.1631502460732890E-03,.1631502460877244E-03,.5471254755364408E-13,.3353506897208456E-09,.4074123783020904E-13,.3640205939325798E-09,1.000000000000000,1,1,1,1,0,-1.47175099820837652e+00,1.00000000000000000e+00,1.63150246073289005e-04,1.63150246087724398e-04,5.47125475536440814e-14,4.07412378302090400e-14,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.1000000000000000E-05,-1,I3B_5,I3B_5,.1631502460794869E-03,.1631502460877244E-03,.1208288859807942E-12,.7405988582807628E-09,.1038190529639021E-12,.9276172088569974E-09,1.000000000000000,1,1,1,1,0,-7.21166434941252876e-01,1.00000000000000000e+00,1.63150246079486901e-04,1.63150246087724398e-04,1.20828885980794190e-13,1.03819052963902097e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.3000000000000000E-06,-1,I3B_5,I3B_5,.1631502470525684E-03,.1631502460877244E-03,.1148439699664183E-11,.7039153911266498E-08,.1065795943253761E-11,.9522824765326772E-08,1.000000000000000,1,1,1,1,0,-1.87029485203436807e+00,1.00000000000000000e+00,1.63150247052568407e-04,1.63150246087724398e-04,1.14843969966418298e-12,1.06579594325376094e-12,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D1,.1000000000000000E-06,-1,I3B_5,I3B_5,.1631502460608930E-03,.1631502460877244E-03,.5594284059011030E-12,.3428915489347796E-08,.5467022505274005E-12,.4884752853175308E-08,1.000000000000000,1,1,1,1,0,6.54684064527333742e-01,1.00000000000000000e+00,1.63150246060892996e-04,1.63150246087724398e-04,5.59428405901103012e-13,5.46702250527400513e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D2,.1000000000000000E-01,-1,I3B_5,I3B_5,.1557066825338903E-16,.7396397234278379E-20,.1557538767920856E-16,1.000303097191638,.1084879798843308E-16,1.000625000000000,-.6379300853855693,1,1,1,1,0,,1.00000000000000000e+00,1.55706682533890285e-17,7.39639723427837856e-21,1.55753876792085612e-17,1.08487979884330803e-17,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.3000000000000000E-02,-1,I3B_5,I3B_5,.3614007241618348E-16,.7396397234278379E-20,.3614684880133427E-16,1.000187503363932,.3614684867976151E-16,1.000187500000000,-.9161573349021892,1,1,1,1,0,-6.99266475295798884e-01,1.00000000000000000e+00,3.61400724161834791e-17,7.39639723427837856e-21,3.61468488013342727e-17,3.61468486797615073e-17,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.1000000000000000E-02,-1,I3B_5,I3B_5,.1242109631012598E-15,.7396397234278379E-20,.1242037544403314E-15,.9999419643745734,.1084134409849724E-15,.9999375000000000,.9746193636396031,1,1,1,1,0,-1.12353888268392565e+00,1.00000000000000000e+00,1.24210963101259798e-16,7.39639723427837856e-21,1.24203754440331405e-16,1.08413440984972397e-16,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.3000000000000000E-03,-1,I3B_5,I3B_5,.3614007241618348E-15,.7396397234278379E-20,.3614007242375218E-15,1.000000000209427,.3614007241618348E-15,1.000000000000000,.000000000000000,1,1,1,1,0,-8.87116370291331835e-01,1.00000000000000000e+00,3.61400724161834778e-16,7.39639723427837856e-21,3.61400724237521791e-16,3.61400724161834778e-16,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.1000000000000000E-03,-1,I3B_5,I3B_5,.1533293416683374E-14,.7396397234278379E-20,.1533298208235654E-14,1.000003125006752,.1084208948749082E-14,1.000006250000000,-.6478210641431329,1,1,1,1,0,-1.31546772109438481e+00,1.00000000000000000e+00,1.53329341668337404e-15,7.39639723427837856e-21,1.53329820823565403e-15,1.08420894874908207e-15,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.3000000000000000E-04,-1,I3B_5,I3B_5,.2258754526011467E-14,.7396397234278379E-20,.2258756897714585E-14,1.000001050004810,.1807006585424490E-14,1.000001640625000,-.3206550672157663,1,1,1,1,0,-3.21762674713824748e-01,1.00000000000000000e+00,2.25875452601146704e-15,7.39639723427837856e-21,2.25875689771458497e-15,1.80700658542448997e-15,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.1000000000000000E-04,-1,I3B_5,I3B_5,.1539271191465679E-13,.7396397234278379E-20,.1539271668759176E-13,1.000000310077587,.1084202850111862E-13,1.000000625000000,-.6453052446812005,1,1,1,1,0,-1.74682174802058698e+00,1.00000000000000000e+00,1.53927119146567915e-14,7.39639723427837856e-21,1.53927166875917587e-14,1.08420285011186192e-14,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.3000000000000000E-05,-1,I3B_5,I3B_5,.4629069284085583E-13,.7396397234278379E-20,.4629069928848819E-13,1.000000139285717,.3614007919244706E-13,1.000000187500000,-.8717260597142957,1,1,1,1,0,-9.14511193671413314e-01,1.00000000000000000e+00,4.62906928408558312e-14,7.39639723427837856e-21,4.62906992884881918e-14,3.61400791924470571e-14,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.1000000000000000E-05,-1,I3B_5,I3B_5,.2251514909548928E-12,.7396397234278379E-20,.2251514967672275E-12,1.000000025815218,.2168404412733645E-12,1.000000031250000,-.7858332240512667,1,1,1,1,0,-1.43984593044662690e+00,1.00000000000000000e+00,2.25151490954892802e-13,7.39639723427837856e-21,2.25151496767227500e-13,2.16840441273364490e-13,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.3000000000000000E-06,-1,I3B_5,I3B_5,.4065758146820642E-12,.7396397234278379E-20,.4065758133644574E-12,.9999999967592594,.3614007241618348E-12,1.000000000000000,.1781417040087590,1,1,1,1,0,-4.90872316736839953e-01,1.00000000000000000e+00,4.06575814682064213e-13,7.39639723427837856e-21,4.06575813364457384e-13,3.61400724161834778e-13,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D2,.1000000000000000E-06,-1,I3B_5,I3B_5,.1539271191465680E-11,.7396397234278379E-20,.1539271186692746E-11,.9999999968992248,.1084202172485504E-11,1.000000000000000,.6453052446812004,1,1,1,1,0,-1.21179594237624189e+00,1.00000000000000000e+00,1.53927119146568000e-12,7.39639723427837856e-21,1.53927118669274608e-12,1.08420217248550403e-12,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPS,D3,.1000000000000000E-01,-1,I3B_5,I3B_5,.9511586498475475E-04,.9511586498475654E-04,.8879471232224121E-17,.9335426044484970E-13,.6871131268126884E-17,.1000866788581495E-12,1.000000000000000,1,1,1,1,0,,1.00000000000000000e+00,9.51158649847547481e-05,9.51158649847565370e-05,8.87947123222412132e-18,6.87113126812688435e-18,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.3000000000000000E-02,-1,I3B_5,I3B_5,.9511586498475568E-04,.9511586498475654E-04,.2145017090969492E-16,.2255162260589500E-12,.1529233282972914E-16,.2227520833462870E-12,1.000000000000000,1,1,1,1,0,-7.32566882475042314e-01,1.00000000000000000e+00,9.51158649847556832e-05,9.51158649847565370e-05,2.14501709096949202e-17,1.52923328297291414e-17,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.1000000000000000E-02,-1,I3B_5,I3B_5,.9511586498475689E-04,.9511586498475654E-04,.1280938761722019E-15,.1346714096462561E-11,.1038157461472761E-15,.1512207064541697E-11,1.000000000000000,1,1,1,1,0,-1.62662552383177594e+00,1.00000000000000000e+00,9.51158649847568894e-05,9.51158649847565370e-05,1.28093876172201891e-16,1.03815746147276104e-16,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.3000000000000000E-03,-1,I3B_5,I3B_5,.9511586498436906E-04,.9511586498475654E-04,.4345643865636592E-15,.4568789724335718E-11,.2815266466130173E-15,.4100790098462320E-11,1.000000000000000,1,1,1,1,0,-1.01462484206602421e+00,1.00000000000000000e+00,9.51158649843690567e-05,9.51158649847565370e-05,4.34564386563659186e-16,2.81526646613017295e-16,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.1000000000000000E-03,-1,I3B_5,I3B_5,.9511586498513136E-04,.9511586498475654E-04,.6217482165995919E-15,.6536745649075309E-11,.4396033233614038E-15,.6403375941027801E-11,1.000000000000000,1,1,1,1,0,-3.26039585460613401e-01,1.00000000000000000e+00,9.51158649851313592e-05,9.51158649847565370e-05,6.21748216599591916e-16,4.39603323361403792e-16,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.3000000000000000E-04,-1,I3B_5,I3B_5,.9511586498854389E-04,.9511586498475654E-04,.6595204396834299E-14,.6933863659473265E-10,.5931575217978102E-14,.8640086192136778E-10,1.000000000000000,1,1,1,1,0,-1.96147523811108737e+00,1.00000000000000000e+00,9.51158649885438856e-05,9.51158649847565370e-05,6.59520439683429917e-15,5.93157521797810228e-15,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.1000000000000000E-04,-1,I3B_5,I3B_5,.9511586498741449E-04,.9511586498475654E-04,.4618522000931476E-14,.4855679966262819E-10,.4416673732472731E-14,.6433441426647754E-10,1.000000000000000,1,1,1,1,0,3.24289143101942956e-01,1.00000000000000000e+00,9.51158649874144857e-05,9.51158649847565370e-05,4.61852200093147630e-15,4.41667373247273121e-15,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.3000000000000000E-05,-1,I3B_5,I3B_5,.9511586502515384E-04,.9511586498475654E-04,.9521060797517839E-13,.1000996079360678E-08,.7669681404733064E-13,.1117185671100011E-08,.9999999999999998,1,1,1,1,0,-2.51335961438290667e+00,1.00000000000000000e+00,9.51158650251538422e-05,9.51158649847565370e-05,9.52106079751783937e-14,7.66968140473306415e-14,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.1000000000000000E-05,-1,I3B_5,I3B_5,.9511586504422806E-04,.9511586498475654E-04,.1448313079883218E-12,.1522682971142369E-08,.1128368909810232E-12,.1643611398155889E-08,1.000000000000000,1,1,1,1,0,-3.81825610723511955e-01,1.00000000000000000e+00,9.51158650442280619e-05,9.51158649847565370e-05,1.44831307988321796e-13,1.12836890981023200e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.3000000000000000E-06,-1,I3B_5,I3B_5,.9511586579977523E-04,.9511586498475654E-04,.8660093996599391E-12,.9104783858908905E-08,.5267745874920626E-12,.7673135107892465E-08,1.000000000000000,1,1,1,1,0,-1.48535422413144724e+00,1.00000000000000000e+00,9.51158657997752303e-05,9.51158649847565370e-05,8.66009399659939123e-13,5.26774587492062629e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPS,D3,.1000000000000000E-06,-1,I3B_5,I3B_5,.9511586557686622E-04,.9511586498475654E-04,.9915445435482578E-12,.1042459675401848E-07,.8717784117208763E-12,.1269855028590703E-07,.9999999999999998,1,1,1,1,0,-1.23217363529413843e-01,1.00000000000000000e+00,9.51158655768662181e-05,9.51158649847565370e-05,9.91544543548257829e-13,8.71778411720876278e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,BETA_MIN_NEG,KPU,D1,.1000000000000000E-01,-1,I3B_5,I3B_5,.000000000000000,.3032494216339350E-22,.3032494216339350E-22,1.000000000000000,.2646977960169689E-22,1.000000000000000,.000000000000000,1,1,1,1,0,,1.00000000000000000e+00,0.00000000000000000e+00,3.03249421633934988e-23,3.03249421633934988e-23,2.64697796016968915e-23,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPU,D1,.3000000000000000E-02,-1,I3B_5,I3B_5,.000000000000000,.3032494216339350E-22,.3032494216339350E-22,1.000000000000000,.2646977960169689E-22,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.03249421633934988e-23,3.03249421633934988e-23,2.64697796016968915e-23,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPU,D1,.1000000000000000E-02,-1,I3B_5,I3B_5,.000000000000000,.3032494216339350E-22,.3032494216339350E-22,1.000000000000000,.2646977960169689E-22,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.03249421633934988e-23,3.03249421633934988e-23,2.64697796016968915e-23,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPU,D1,.3000000000000000E-03,-1,I3B_5,I3B_5,.000000000000000,.3032494216339350E-22,.3032494216339350E-22,1.000000000000000,.2646977960169689E-22,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.03249421633934988e-23,3.03249421633934988e-23,2.64697796016968915e-23,NULLSPACE,NULLSPACE_CONSISTENT
run1,BETA_MIN_NEG,KPU,D1,.1000000000000000E-03,-1,I3B_5,I3B_5,.000000000000000,.3032494216339350E-22,.3032494216339350E-22,1.000000000000000,.2646977960169689E-22,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.03249421633934988e-23,3.03249421633934988e-23,2.64697796016968915e-23,NULLSPACE,NULLSPACE_CONSISTENT
