state_id,direction_id,h,norm_fd,norm_ksp_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,residual_scale,scaled_norm_fd,scaled_norm_kd,scaled_absolute_error_l2,scaled_absolute_error_inf,branch_crossed,finite,classification,diagnostic_explanation
BETA_MIN_NEG,D1,9.99999999999999955E-08,6.20875925955627363E-10,5.14789238764451703E-16,6.20876330760996360E-10,1.00000065199076404E+00,4.33681146549957878E-10,-7.86351495083152163E-01,-3.814381433136325e-07,3.26433757646462919E+00,1.90199668818582705E-10,1.57700981196308475E-16,1.90199792827009990E-10,1.32854257989961622E-10,0,1,INCONCLUSIVE,NONE
BETA_MIN_NEG,D1,2.99999999999999986E-07,1.34203033667494904E-09,5.14789238764451703E-16,1.34203064928473999E-09,1.00000023293794693E+00,7.17019258781685260E-10,-6.07257699330981282E-01,-8.383888482359413e-07,3.26433757646462919E+00,4.11118735498062738E-10,1.57700981196308475E-16,4.11118831263216808E-10,2.19652300653977570E-10,0,1,INCONCLUSIVE,NONE
BETA_MIN_NEG,D1,9.99999999999999955E-07,4.02609101002484577E-10,5.14789238764451703E-16,4.02608788392963593E-10,9.99999223540848470E-01,2.15105877554577799E-10,6.07257699330981171E-01,-7.899153548576423e-06,3.26433757646462919E+00,1.23335620649418790E-10,1.57700981196308475E-16,1.23335524884347412E-10,6.58957208057947216E-11,0,1,INCONCLUSIVE,NONE
BETA_MIN_NEG,D1,3.00000000000000008E-06,4.40678948962899972E-11,5.14789238764451703E-16,4.40674782554118608E-11,9.99990545478082749E-01,3.00682626945084979E-11,8.09344648274097356E-01,2.5550725451498662e-05,3.26433757646462919E+00,1.34997970841045139E-11,1.57700981196308475E-16,1.34996694499771056E-11,9.21113763211747367E-12,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D1,1.00000000000000008E-05,2.01115733093336209E-11,5.14789238764451703E-16,2.01120018475215595E-11,1.00002130803897593E+00,1.38781208747218395E-11,-8.32449734534903230E-01,6.666184920044025e-05,3.26433757646462919E+00,6.16099678364608017E-12,1.57700981196308475E-16,6.16112806240567568E-12,4.25143556683014366E-12,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D1,3.00000000000000008E-05,4.40678948962900069E-12,5.14789238764451703E-16,4.40720614191574775E-12,1.00009454780804208E+00,3.00718709193385304E-12,-8.09344648274097245E-01,-0.0002555168720117736,3.26433757646462919E+00,1.34997970841045167E-12,1.57700981196308475E-16,1.35010734603278309E-12,9.21224297883652793E-13,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D1,1.00000000000000005E-04,2.01115733093336184E-12,5.14789238764451703E-16,2.01072881500085414E-12,9.99786930676224483E-01,1.38744571387405793E-12,8.32449734534903341E-01,0.00019396472119120742,3.26433757646462919E+00,6.16099678364607916E-13,1.57700981196308475E-16,6.15968406422760628E-13,4.25031321477695078E-13,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D1,2.99999999999999974E-04,0.00000000000000000E+00,5.14789238764451703E-16,5.14789238764451703E-16,1.00000000000000000E+00,3.33066907387547011E-16,0.00000000000000000E+00,0.0026156391204354727,3.26433757646462919E+00,0.00000000000000000E+00,1.57700981196308475E-16,1.57700981196308475E-16,1.02032004835807452E-16,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D1,1.00000000000000002E-03,1.32203684688869996E-13,5.14789238764451703E-16,1.32620671262414700E-13,1.00315412217538391E+00,9.05386876581815159E-14,-8.09344648274097356E-01,-0.020735149857385383,3.26433757646462919E+00,4.04993912523135446E-14,1.57700981196308475E-16,4.06271312803520388E-14,2.77356999812003195E-14,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D1,3.00000000000000006E-03,2.06958641985209105E-14,5.14789238764451703E-16,2.02935510043904898E-14,9.80560696075732263E-01,1.41784732103170996E-14,7.86351495083152163E-01,0.016304963038391632,3.26433757646462919E+00,6.33998896061942314E-15,1.57700981196308475E-16,6.21674398833743954E-15,4.34344576141319065E-15,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D1,1.00000000000000002E-02,0.00000000000000000E+00,5.14789238764451703E-16,5.14789238764451703E-16,1.00000000000000000E+00,3.33066907387547011E-16,0.00000000000000000E+00,,3.26433757646462919E+00,0.00000000000000000E+00,1.57700981196308475E-16,1.57700981196308475E-16,1.02032004835807452E-16,0,1,NULLSPACE_CONSISTENT,NONE
BETA_MIN_NEG,D2,9.99999999999999955E-08,3.26433758011425379E+00,3.26433757646462919E+00,3.86743249126958977E-09,1.18475261714023702E-09,2.65314348268930189E-09,9.99999999999999778E-01,-1.2163063206341902,3.26433757646462919E+00,1.00000000111802922E+00,1.00000000000000000E+00,1.18475261846482491E-09,8.12766272035728614E-10,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,2.99999999999999986E-07,3.26433757569649208E+00,3.26433757646462919E+00,1.01647603332945499E-09,3.11388148290204622E-10,8.56780202340701180E-10,1.00000000000000000E+00,-1.2314753752052738,3.26433757646462919E+00,9.99999999764688230E-01,1.00000000000000000E+00,3.11388148290204570E-10,2.62466789132948243E-10,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,9.99999999999999955E-07,3.26433757635857802E+00,3.26433757646462919E+00,2.30772919418251889E-10,7.06951759775364946E-11,1.95272686909220309E-10,9.99999999999999667E-01,-0.518851189506681,3.26433757646462919E+00,9.99999999967512210E-01,1.00000000000000000E+00,7.06951759775364687E-11,5.98200040085027663E-11,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,3.00000000000000008E-06,3.26433757656414203E+00,3.26433757646462919E+00,1.30505830177582010E-10,3.99792690298118722E-11,1.06568531776929402E-10,1.00000000000000000E+00,-1.9236993280331023,3.26433757646462919E+00,1.00000000003048495E+00,1.00000000000000000E+00,3.99792690310306517E-11,3.26462963099380672E-11,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,1.00000000000000008E-05,3.26433757646595701E+00,3.26433757646462919E+00,1.28756280606932205E-11,3.94433105004803364E-12,9.42379507762325375E-12,9.99999999999999778E-01,0.25903559151422884,3.26433757646462919E+00,1.00000000000040679E+00,1.00000000000000000E+00,3.94433105004963792E-12,2.88689354482433541E-12,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,3.00000000000000008E-05,3.26433757644970912E+00,3.26433757646462919E+00,1.71143263468416412E-11,5.24281755362352836E-12,1.30109256701871297E-11,1.00000000000000000E+00,-1.168927004890817,3.26433757646462919E+00,9.99999999995429323E-01,1.00000000000000000E+00,5.24281755362352755E-12,3.98577823690598032E-12,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,1.00000000000000005E-04,3.26433757646864597E+00,3.26433757646462919E+00,4.18940863475449671E-12,1.28338706908082395E-12,2.83284506963354902E-12,1.00000000000000000E+00,-1.8087337581793288,3.26433757646462919E+00,1.00000000000123057E+00,1.00000000000000000E+00,1.28338706908240359E-12,8.67816211796820715E-13,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,2.99999999999999974E-04,3.26433757646520295E+00,3.26433757646462919E+00,5.74337804041660005E-13,1.75943140250703904E-13,2.88880031007465681E-13,1.00000000000000000E+00,-0.6434427104588136,3.26433757646462919E+00,1.00000000000017586E+00,1.00000000000000000E+00,1.75943140250734802E-13,8.84957588609236346E-14,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,1.00000000000000002E-03,3.26433757646463896E+00,3.26433757646462919E+00,2.64682291694416899E-13,8.10830024451927644E-14,1.82298620643450704E-13,9.99999999999999778E-01,-0.7493114723448638,3.26433757646462919E+00,1.00000000000000289E+00,1.00000000000000000E+00,8.10830024451929916E-14,5.58455173134652680E-14,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,3.00000000000000006E-03,3.26433757646452083E+00,3.26433757646462919E+00,1.16201693219397204E-13,3.55973273282743583E-14,8.37108160567368031E-14,1.00000000000000000E+00,-3.7351542590060993,3.26433757646462919E+00,9.99999999999966804E-01,1.00000000000000000E+00,3.55973273282743520E-14,2.56440438820662691E-14,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D2,1.00000000000000002E-02,3.26433757646462919E+00,3.26433757646462919E+00,1.29473140982778809E-15,3.96629141288144092E-16,1.11022302462515693E-15,9.99999999999999667E-01,,3.26433757646462919E+00,1.00000000000000000E+00,1.00000000000000000E+00,3.96629141288144338E-16,3.40106682786024915E-16,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D3,9.99999999999999955E-08,1.68608601636338395E+00,1.68608601576362704E+00,5.86845565656602619E-09,3.48051973601165394E-09,4.21442203357713734E-09,9.99999999999999889E-01,-1.0660621982916925,3.26433757646462919E+00,5.16517050356496310E-01,5.16517050172766279E-01,1.79774778775231060E-09,1.29104969533864111E-09,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D3,2.99999999999999986E-07,1.68608601424735505E+00,1.68608601576362704E+00,1.81921024658786492E-09,1.07895459044178502E-09,1.50437040602469096E-09,1.00000000000000000E+00,-1.1957897196434637,3.26433757646462919E+00,5.16517049708270171E-01,5.16517050172766279E-01,5.57298442325355774E-10,4.60850132924661278E-10,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D3,9.99999999999999955E-07,1.68608601574658890E+00,1.68608601576362704E+00,4.31151464148199976E-10,2.55711428786705126E-10,3.64783758755038382E-10,1.00000000000000000E+00,-1.3883776638778536,3.26433757646462919E+00,5.16517050167546787E-01,5.16517050172766279E-01,1.32079312892372282E-10,1.11748172549638569E-10,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D3,3.00000000000000008E-06,1.68608601574911399E+00,1.68608601576362704E+00,9.38005472725914781E-11,5.56321245746820868E-11,6.64113208870276139E-11,1.00000000000000000E+00,-0.015146532069693765,3.26433757646462919E+00,5.16517050168320280E-01,5.16517050172766279E-01,2.87349408801586477E-11,2.03445015508944311E-11,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D3,1.00000000000000008E-05,1.68608601579569095E+00,1.68608601576362704E+00,9.21055017139566988E-11,5.46268107623742071E-11,6.33459673604619411E-11,1.00000000000000000E+00,-1.616714081403821,3.26433757646462919E+00,5.16517050182588755E-01,5.16517050172766279E-01,2.82156791558640182E-11,1.94054584970551461E-11,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D3,3.00000000000000008E-05,1.68608601576242889E+00,1.68608601576362704E+00,1.55925419634475593E-11,9.24777373020658539E-12,1.19425858091659604E-11,1.00000000000000000E+00,-1.1121032472589345,3.26433757646462919E+00,5.16517050172399239E-01,5.16517050172766279E-01,4.77663280779150501E-12,3.65850207872805920E-12,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_NEG,D3,1.00000000000000005E-04,1.68608601576198902E+00,1.68608601576362704E+00,4.08716123855315726E-12,2.42405262859741197E-12,2.90822921300559796E-12,1.00000000000000000E+00,-1.650130908010311,3.26433757646462919E+00,5.16517050172264458E-01,5.16517050172766279E-01,1.25206451318667522E-12,8.90909455557992005E-13,0,1,CONSISTENT_NUMERICALLY,NONE
