benchmark,profile,offset,iteration,residual,q,C,above_roundoff_floor,q_at_least_1p8
N1,M2_PHYS,PRIMARY,2,2.66497699757003190e-04,7.42374989053201428e-01,3.34557437365551857e+00,1,0
N1,M2_PHYS,PRIMARY,3,3.12438603300166415e-06,1.26625095541520394e+00,4.39924103891747933e+01,1,0
N1,M2_PHYS,PRIMARY,4,1.82379192193822504e-09,1.67473261482279767e+00,1.86829698246983867e+02,1,0
N1,M2_PHYS,PRIMARY,5,8.92789473223020557e-16,1.95134111918137232e+00,2.68409872254333322e+02,0,0
N2,M2_PHYS,PRIMARY,2,3.59098209831400922e-04,3.47789126881142108e-01,3.80057846678616116e+01,1,0
N2,M2_PHYS,PRIMARY,3,5.16483382580221689e-05,9.03147786295363297e-01,4.00525224783040926e+02,1,0
N2,M2_PHYS,PRIMARY,4,2.73119276329539120e-06,1.51599306443701964e+00,1.02385780897260702e+03,1,0
N2,M2_PHYS,PRIMARY,5,9.30880956510660979e-09,1.93267837123697062e+00,1.24792774299352300e+03,1,1
N2,M2_PHYS,PRIMARY,6,1.09313452109347204e-13,1.99809687632473243e+00,1.26149437361501714e+03,1,1
N2,M2_PHYS,PRIMARY,7,1.81081315776276499e-15,3.61200874255051596e-01,1.51539699776730011e+11,0,0
