benchmark,iteration,residual,q,C,original_q,original_C,q_absolute_difference,C_absolute_difference,above_roundoff_floor,q_at_least_1p8,status
N1,2,0.0002664976997570032,0.7423749890532014,3.3455743736555186,7.42374989053201428e-01,3.34557437365551857e+00,0.0,0.0,1,0,PASS_EXACT
N1,3,3.124386033001664e-06,1.266250955415204,43.99241038917479,1.26625095541520394e+00,4.39924103891747933e+01,0.0,0.0,1,0,PASS_EXACT
N1,4,1.823791921938225e-09,1.6747326148227977,186.82969824698387,1.67473261482279767e+00,1.86829698246983867e+02,0.0,0.0,1,0,PASS_EXACT
N1,5,8.927894732230206e-16,1.9513411191813723,268.4098722543333,1.95134111918137232e+00,2.68409872254333322e+02,0.0,0.0,0,0,PASS_EXACT
N2,2,0.0003590982098314009,0.3477891268811421,38.00578466786161,3.47789126881142108e-01,3.80057846678616116e+01,0.0,0.0,1,0,PASS_EXACT
N2,3,5.164833825802217e-05,0.9031477862953633,400.5252247830409,9.03147786295363297e-01,4.00525224783040926e+02,0.0,0.0,1,0,PASS_EXACT
N2,4,2.731192763295391e-06,1.5159930644370196,1023.857808972607,1.51599306443701964e+00,1.02385780897260702e+03,0.0,0.0,1,0,PASS_EXACT
N2,5,9.30880956510661e-09,1.9326783712369706,1247.927742993523,1.93267837123697062e+00,1.24792774299352300e+03,0.0,0.0,1,1,PASS_EXACT
N2,6,1.093134521093472e-13,1.9980968763247324,1261.4943736150171,1.99809687632473243e+00,1.26149437361501714e+03,0.0,0.0,1,1,PASS_EXACT
N2,7,1.810813157762765e-15,0.3612008742550516,151539699776.73,3.61200874255051596e-01,1.51539699776730011e+11,0.0,0.0,0,0,PASS_EXACT
