benchmark,iteration,norm_rhs,norm_rhs_target,norm_g,cancellation_factor,eps64_predicted_g_floor,g_to_floor_ratio,subtraction_resolution_limited,finite
N1,0,14452702.364257775,16975278.33806686,2533057.69327869,12.407131817690855,6.978413558639182e-09,362984748896516.56,0,1
N1,1,16975282.388355892,16975278.33806686,4.521138271355891,7509294.93608276,7.538538843481825e-09,599736681.7662656,0,1
N1,2,16975299.566146113,16975278.33806686,22.283488596744114,1523575.5279886276,7.538542657717467e-09,2955941169.070886,0,1
N1,3,16975278.51659264,16975278.33806686,0.19042882080289608,178284761.26415825,7.538537983777682e-09,25260709.863462035,0,1
N1,4,16975278.33817188,16975278.33806686,0.00011251316211524367,301747422594.56067,7.538537944160316e-09,14925.064110395746,0,1
N1,5,16975278.338066857,16975278.33806686,2.793967723849056e-09,1.2151377550404336e+16,7.538537944136996e-09,0.37062461508494887,1,1
N2,0,12848904.095239915,15080735.492472704,3775007.8190495255,7.398564698799688,6.201625787952163e-09,608712609906775.8,0,1
N2,1,15080735.882875217,15080735.492472706,0.6096576775798349,49472798.39906267,6.69719199549677e-09,91031835.1317645,0,1
N2,2,15080753.124779243,15080735.492472706,26.38281858088123,1143224.6529985615,6.6971958239685375e-09,3939382881.1843886,0,1
N2,3,15080737.758995678,15080735.492472706,3.5640621327976527,8462667.63250639,6.6971924120791965e-09,532172575.2375631,0,1
N2,4,15080735.611147823,15080735.492472706,0.18649531796206906,161727765.78635082,6.6971919351611684e-09,27846793.06903887,0,1
N2,5,15080735.492877157,15080735.492472706,0.0006355482063443566,47457408713.0813,6.697191908899805e-09,94897.71459285577,0,1
N2,6,15080735.492472714,15080735.492472706,1.1244177528011595e-08,2682407931554522.0,6.697191908810001e-09,1.6789391256983601,1,1
N2,7,15080735.492472708,15080735.492472706,5.42331744050302e-09,5561443031103099.0,6.69719190881e-09,0.8097897617908741,1,1
