scope,benchmark,direction_id,sign,entry_band,entry_radius,persistent_entry,both_signs_required
SIGN,N1,LEGACY,-1,L3,1.00000000000000002E-03,1,0
SIGN,N1,LEGACY,1,L3,1.00000000000000002E-03,1,0
DIRECTION,N1,LEGACY,0,L3,1.00000000000000002E-03,1,1
SIGN,N1,ERR_K1,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,ERR_K1,1,L2,1.00000000000000002E-02,1,0
DIRECTION,N1,ERR_K1,0,L2,1.00000000000000002E-02,1,1
SIGN,N1,ERR_K2,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,ERR_K2,1,L2,1.00000000000000002E-02,1,0
DIRECTION,N1,ERR_K2,0,L2,1.00000000000000002E-02,1,1
SIGN,N1,ERR_K3,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,ERR_K3,1,L2,1.00000000000000002E-02,1,0
DIRECTION,N1,ERR_K3,0,L2,1.00000000000000002E-02,1,1
SIGN,N1,UPDATE_K0,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,UPDATE_K0,1,L3,1.00000000000000002E-03,1,0
DIRECTION,N1,UPDATE_K0,0,L3,1.00000000000000002E-03,1,1
SIGN,N1,UPDATE_K1,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,UPDATE_K1,1,L2,1.00000000000000002E-02,1,0
DIRECTION,N1,UPDATE_K1,0,L2,1.00000000000000002E-02,1,1
SIGN,N1,ORTH_K0,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,ORTH_K0,1,L2,1.00000000000000002E-02,1,0
DIRECTION,N1,ORTH_K0,0,L2,1.00000000000000002E-02,1,1
SIGN,N1,SVD_MAX,-1,L3,1.00000000000000002E-03,1,0
SIGN,N1,SVD_MAX,1,L3,1.00000000000000002E-03,1,0
DIRECTION,N1,SVD_MAX,0,L3,1.00000000000000002E-03,1,1
SIGN,N1,SVD_MID,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,SVD_MID,1,L2,1.00000000000000002E-02,1,0
DIRECTION,N1,SVD_MID,0,L2,1.00000000000000002E-02,1,1
SIGN,N1,SVD_MIN,-1,L2,1.00000000000000002E-02,1,0
SIGN,N1,SVD_MIN,1,L2,1.00000000000000002E-02,1,0
