benchmark,direction_id,sign,point_id,amplitude,z1_norm,root_linear_norm,operator_variation_norm,nonlinear_norm,linear_solve_norm,root_fraction,operator_fraction,nonlinear_fraction,linear_solve_fraction,decomposition_closure,linear_solve_relative_residual,z1_u_norm,root_u_norm,operator_u_norm,nonlinear_u_norm,residual_u_norm,z1_p_norm,root_p_norm,operator_p_norm,nonlinear_p_norm,residual_p_norm,z1_s_norm,root_s_norm,operator_s_norm,nonlinear_s_norm,residual_s_norm,condition_number,branch_preserving,branch_margin_gate_pass,finite,pass
N1,FIELD_U,-1,1,.1000000000000000E-01,5.71117751324292030E-18,4.58964700493634333E-18,1.50231471708028227E-18,5.66460514805666330E-19,8.67361805394612116E-19,8.63490752420154273E-01,9.25168771154405989E-02,1.31534114912908746E-02,3.08389589731142763E-02,3.84651698277017099E-19,5.21842393029509106E-17,5.71117750625307881E-18,4.58964691090016141E-18,1.50231459873715923E-18,5.66460426827922001E-19,4.04700354331684136E-04,9.47227440488858425E-25,1.79954979620603709E-24,1.27521315185558160E-24,4.55292060699677677E-25,5.07480291578817134E-09,2.82558926840293499E-22,9.29076162142962256E-22,5.96301593772398628E-22,3.15708127529642068E-22,1.12338683239753563E-10,4.59335163722473953E+03,1,1,1,1
N1,FIELD_U,-1,2,.7500000000000000E-02,4.28338313493217771E-18,4.88733520890612108E-18,9.69739942417810867E-19,2.31925222975158826E-18,4.46501784059519986E-18,4.76370339690054434E-01,1.87547390991584656E-02,1.07274481599208424E-01,3.97600439611578760E-01,1.48400972960020839E-18,1.38758030541651935E-16,4.28338312968979717E-18,4.88733518481277060E-18,9.69739903612216062E-19,2.31925207249295682E-18,3.03525265748763075E-04,7.10420580198936682E-25,1.21984080396468112E-24,5.98509532353919663E-25,1.26793494162808327E-24,3.80610218684112789E-09,2.11919195075621656E-22,4.85286584238436354E-22,2.74339772574873561E-22,8.54074488519531126E-22,8.42540124298151655E-11,4.59335164425464154E+03,1,1,1,1
N1,FIELD_U,-1,3,.5000000000000000E-02,2.85558875662145630E-18,2.29482350246817167E-18,6.13317380384525757E-19,2.83230257402822235E-19,8.67361787249090671E-19,8.13326478525494667E-01,5.80947486830323961E-02,1.23892674227530728E-02,1.16189505368719803E-01,1.92325852718877412E-19,5.21842393029503559E-17,2.85558875312653594E-18,2.29482345545008070E-18,6.13317366673349675E-19,2.83230213413949734E-19,2.02350177165842068E-04,4.73613720068238129E-25,8.99774898103018547E-25,3.42451753942050553E-25,2.27646030522834138E-25,2.53740145789408567E-09,1.41279463352574374E-22,4.64538081071481128E-22,1.29686112380436496E-22,1.57854064354745672E-22,5.61693416198767813E-11,4.59335165128454355E+03,1,1,1,1
N1,FIELD_U,-1,4,.3000000000000000E-02,1.71335325397286430E-18,9.45185578452152637E-19,7.81829355960712880E-19,8.89218851291297873E-19,9.19976285550164178E-19,2.84360675373708904E-01,1.94562577156458721E-01,2.51682306922931143E-01,2.69394440546901315E-01,1.50873564625574520E-19,1.28505896938569829E-16,1.71335325187591217E-18,9.45185540846313772E-19,7.81829305173187690E-19,8.89218830150872934E-19,1.21410106299505227E-04,2.84168232111419302E-25,4.42182149727951633E-25,3.47416916293328735E-25,3.10438323551322240E-25,1.52244087473645140E-09,8.47676779981685706E-23,2.66624823186627640E-22,2.81805310241920566E-22,1.93899026109092826E-22,3.37016049719260714E-11,4.59335165690846497E+03,1,1,1,1
N1,FIELD_U,-1,5,.2000000000000000E-02,1.14223550264859623E-18,9.07108629501459110E-19,5.93842004655336655E-19,1.78374506961954796E-19,7.96722696347846160E-19,4.46694254212797903E-01,1.91440401510747205E-01,1.72725850829622204E-02,3.44592759193492693E-01,1.99422256396733541E-19,6.03608022197939067E-17,1.14223550125062801E-18,9.07108618400024510E-19,5.93841986766417738E-19,1.78374498554206151E-19,8.09400708663368272E-05,1.89445487956818851E-25,3.31041511737801705E-25,2.46446365883974107E-25,1.27143401543714584E-25,1.01496058315763427E-09,5.65117853204460888E-23,1.41916539578569476E-22,1.45761180936798147E-22,5.47671416463568751E-23,2.24677366479507132E-11,4.59335165972042068E+03,1,1,1,1
N1,FIELD_U,-1,6,.1000000000000000E-02,5.71117751324279627E-19,4.53554314750729555E-19,9.38947039155932045E-20,8.91872534809892182E-20,9.38948104055938853E-20,8.89377425917597719E-01,3.81162081526042196E-02,3.43900713187001855E-02,3.81162946110979173E-02,9.97111254788847529E-20,6.03608022197931179E-17,5.71117750625295421E-19,4.53554309200012255E-19,9.38946624210724520E-20,8.91872492771149079E-20,4.04700354331684136E-05,9.47227439716161241E-26,1.65520755868900852E-25,9.82054870161197149E-26,6.35717007708645504E-26,5.07480291578817134E-10,2.82558926605245763E-23,7.09582697892847379E-23,8.82735527382117767E-23,2.73835708271076273E-23,1.12338683239753566E-11,4.59335166253238367E+03,1,1,1,1
N1,FIELD_U,-1,7,.7500000000000000E-03,4.28338313493226620E-19,2.36296394613038159E-19,7.66646740251740609E-20,2.22304712822829957E-19,1.21217497749873556E-19,4.43753699034760474E-01,4.67109158594074744E-02,3.92758086299664688E-01,1.16777298806167287E-01,1.80032231811236449E-19,1.28505896938570101E-16,4.28338312968988586E-19,2.36296385211578443E-19,7.66646708341687093E-20,2.22304707537723626E-19,3.03525265748763068E-05,7.10420580489867700E-26,1.10545537431987908E-25,1.02991019485553068E-25,7.76095809051784000E-26,3.80610218684112851E-10,2.11919194945894881E-23,6.66562057966569101E-23,2.21193163276843556E-23,4.84747565905202450E-23,8.42540124298151784E-12,4.59335166323537032E+03,1,1,1,1
N1,FIELD_U,-1,8,.5000000000000000E-03,2.85558875662179151E-19,2.26777157375364777E-19,2.71050565893304488E-20,4.45936267404946091E-20,6.06087655025463724E-20,8.89377520703259261E-01,1.27053949767711449E-02,3.43900749838321820E-02,6.35270093361374605E-02,4.98555627394057597E-20,6.03608022197931179E-17,2.85558875312687047E-19,2.26777154600006127E-19,2.71050543121376109E-20,4.45936246385574419E-20,2.02350177165842068E-05,4.73613720044819263E-26,8.27603779344504262E-26,1.08229502275395870E-26,3.17858503851835847E-26,2.53740145789408567E-10,1.41279463267593855E-23,3.54791348946423689E-23,1.11106597073835046E-23,1.36917854145356247E-23,5.61693416198767829E-12,4.59335166393836425E+03,1,1,1,1
N1,FIELD_U,-1,9,.3000000000000000E-03,1.71335325397299854E-19,9.77286635357654657E-20,3.83323451358886297E-20,5.47728980066184981E-20,3.83323437342723428E-20,6.16596326129374206E-01,9.48610205975015941E-02,1.93681639612779705E-01,9.48610136603445508E-02,4.98364485214036472E-20,6.44266724964475141E-17,1.71335325187604626E-19,9.77286631466484612E-20,3.83323354170843547E-20,5.47728966275813022E-20,1.21410106299505224E-05,2.84168232582264746E-26,3.64199098156561482E-26,4.85726240387552955E-26,2.09466327356133904E-26,1.52244087473645114E-10,8.47676779622217036E-24,8.72091981800401759E-24,2.72962756809521355E-23,1.22909432586680075E-23,3.37016049719260649E-12,4.59335166450075394E+03,1,1,1,1
N1,FIELD_U,-1,10,.2000000000000000E-03,1.14223550264846267E-19,1.49077799505048388E-19,1.86515345650587009E-24,3.48761965718012670E-20,8.88698639193609169E-20,7.09168173909251465E-01,1.11007527259347372E-10,3.88133852904806384E-02,2.52018440689260270E-01,3.11225017093087438E-20,1.14240610830294466E-16,1.14223550125049440E-19,1.49077798716756860E-19,0.00000000000000000E+00,3.48761920687628274E-20,8.09400708663368272E-06,1.89445487326688406E-26,3.96984672728187172E-26,1.16613878414396447E-26,2.65805253136043117E-26,1.01496058315763427E-10,5.65117853369634154E-24,1.53307518599046885E-23,1.86511700124936026E-24,1.77227814065980308E-23,2.24677366479507140E-12,4.59335166478195242E+03,1,1,1,1
