benchmark,direction_id,bottom1_direction_energy,bottom2_direction_energy,bottom3_direction_energy,bottom3_response_energy,equal_pressure_energy,equal_pressure_response_energy,equal_pressure_operator_ratio,affine_mechanics_energy,rigid_compatible_energy,non_affine_energy,affine_rank,rigid_rank
N1,FIELD_U,1.49577627724737517E-05,5.82612849092136917E-04,4.71752867026228317E-01,5.20872210947363468E-01,0.00000000000000000E+00,0.00000000000000000E+00,9.92527866523995606E-01,9.99999999999999778E-01,9.99999999999999667E-01,2.22044604925031308E-16,5,3
N1,FIELD_P,3.30187599123737583E-07,8.73309779494665834E-07,9.29830410383354897E-07,2.19612678322360590E-12,7.88200401658270655E-01,7.62140342437443108E-01,9.92527866523995606E-01,4.08836731862995192E-32,7.51935032939595608E-33,1.00000000000000000E+00,5,3
N1,FIELD_S,1.23212801387303506E-02,2.54936664751881023E-02,2.65124638573110624E-02,9.34332583012078416E-03,0.00000000000000000E+00,0.00000000000000000E+00,9.92527866523995606E-01,3.33827857027120927E-33,0.00000000000000000E+00,1.00000000000000000E+00,5,3
N1,SVD_MIN,9.99999999999999778E-01,9.99999999999999778E-01,9.99999999999999778E-01,1.00000000000000000E+00,4.40097224745055334E-08,2.07211516739904283E-05,9.92527866523995606E-01,1.74494479551762883E-04,1.55742883994133889E-04,9.99825505520448243E-01,5,3
N1,LEGACY,3.89988151434587102E-03,1.03361608582429286E-02,1.58528019927441643E-01,6.48934154003984632E-05,2.94773120304318681E-01,6.87991001055414553E-01,9.92527866523995606E-01,2.84553430087441384E-01,2.84553430087441273E-01,7.15446569912558616E-01,5,3
N2,FIELD_P,2.30845348899895068E-08,3.04318720823189000E-08,3.05617651215721645E-08,1.22801406721579510E-11,1.00000000000000022E+00,1.00000000000000000E+00,9.93130224088139113E-01,5.02633362575796960E-32,9.24446373305873209E-33,1.00000000000000000E+00,5,3
N2,FIELD_U,3.07963669939641908E-05,3.68646622361906511E-04,4.42329760623269841E-01,4.50507315483728077E-01,0.00000000000000000E+00,0.00000000000000000E+00,9.93130224088139113E-01,1.00000000000000022E+00,6.42214131572759972E-01,0.00000000000000000E+00,5,3
N2,FIELD_S,7.89757440143154854E-01,9.14722132959291723E-01,9.15530198685624241E-01,3.76324983291016490E-01,0.00000000000000000E+00,0.00000000000000000E+00,9.93130224088139113E-01,3.33827857027120927E-33,0.00000000000000000E+00,1.00000000000000000E+00,5,3
N2,SVD_MIN,9.99999999999999556E-01,9.99999999999999556E-01,9.99999999999999112E-01,1.00000000000000000E+00,2.30845348899913233E-08,1.11350125823194697E-05,9.93130224088139113E-01,1.53071453075759865E-04,1.37562394292419415E-04,9.99846928546924252E-01,5,3
N2,LEGACY,2.76399660304068040E-01,3.23979022466504452E-01,4.48236883420266463E-01,5.96679184198890974E-04,3.45770744155218579E-01,9.96362029729925713E-01,9.93130224088139113E-01,3.08458511689563286E-01,1.98096415210938986E-01,6.91541488310436714E-01,5,3
