figure_id,source_path,source_sha256,source_status
Figure 1,CONCEPTUAL_FROZEN_CONTRACT,NOT_APPLICABLE,FROZEN_READ_ONLY
Figure 2,CONCEPTUAL_FROZEN_CONTRACT,NOT_APPLICABLE,FROZEN_READ_ONLY
Figure 3,evidence/wp09_six_block_fd_results_run1.csv,AFEC0F03C26597CD6AAF43237E9861103F1E5413309628649A9183ED94AE5B0F,FROZEN_READ_ONLY
Figure 3,evidence/wp10_i1_fd_results_run1.csv,973EE15C7CBFC373D77F8BCE5E8765C8AECDE06BEBFD34FA31AE58204C2710A6,FROZEN_READ_ONLY
Figure 3,evidence/wp10_i3_fd_results_run1.csv,4B7EB73F6DD069307595077E30CB2420905D62CA755785FFA9144A6352A4E36E,FROZEN_READ_ONLY
Figure 4,evidence/wp10_i4_kpp_raw_fd_run1.csv,6D29EE97892783FA53A609084375FF7970AED60654D771E6DCE8E1CEC2A10A0F,FROZEN_READ_ONLY
Figure 4,evidence/wp10_i4_kpp_physical_fd_run1.csv,0506A5B6DFC9141821ACDC0378C77788E08A85CBD03C7E4A241545F4200C7FF0,FROZEN_READ_ONLY
Figure 4,evidence/wp10_i5_full_matrix_fd_run1.csv,7F51366541A9B2A964F400349A63C6240583B0FAC452DEF8091C92A94DDC512C,FROZEN_READ_ONLY
Figure 4,evidence/wp10_i5b_final_classification.csv,D1657FB3C38660B21C9A1402A224B450735A4C88514E177606ECE2F98E61F84C,FROZEN_READ_ONLY
Figure 5,evidence/wp10_i6_patch_results_run1.csv,75BCB785D781D7F8F0922C84CD641C5053DC6E73EB4F1F17F1F1650D74DAE492,FROZEN_READ_ONLY
Figure 5,evidence/wp10_i6_rollback_replay_run1.csv,C75CFD91812FAC59A3FD91C1485A6D98453BAC7636DE5C3A6B60B3F5119268A6,FROZEN_READ_ONLY
Figure 5,evidence/wp10_i6_newton_order.csv,DFC11C5798DBB1D0F42293D6764AA230F6B9DCDA71A562E0C8F6CAF31223BD32,FROZEN_READ_ONLY
Figure 5,evidence/wp10_i6a_recomputed_order.csv,3A3AF710EF8DD5816877E5F85AB05BEF677136A4DE92857F632616ADE46A729F,FROZEN_READ_ONLY
Figure 5,evidence/wp10_i6a_binary128_order.csv,3DBB7F632262259954BDE638835F45BC6F12D2E231D9DC8B659B5FACCD95C49F,FROZEN_READ_ONLY
Figure 6,evidence/wp10_i6c_r1_basin_entry_radius.csv,4AC0F298B0394FAF9C5FCFB685DEEE089601024B53CF50AA6F2C3A9F4A8B96ED,FROZEN_READ_ONLY
Figure 6,evidence/wp10_i6d_subspace_audit.csv,78C01FAAF063824B44B7FBBBD32840A60DBF0722852C01C6262903C609E7ED15,FROZEN_READ_ONLY
Figure 6,evidence/wp10_i6d_one_step_decomposition.csv,F6836E6F2198F5710405F62EFFE7CDFF541350DFCCB97DBE88AB8DC3F13A6C1F,FROZEN_READ_ONLY
