figure_id,axis_id,label_count,overlap_pair_count,outside_figure_count
Figure 3,axes_1_x,7,0,1
Figure 3,axes_1_y,10,0,2
Figure 3,axes_2_x,7,0,2
Figure 3,axes_2_y,10,0,1
Figure 3,axes_3_x,7,0,1
Figure 3,axes_3_y,9,0,1
Figure 3,axes_4_x,7,0,2
Figure 3,axes_4_y,8,0,0
Figure 4,axes_1_x,6,0,1
Figure 4,axes_1_y,8,0,1
Figure 4,axes_2_x,6,0,1
Figure 4,axes_2_y,9,0,2
Figure 4,axes_3_x,3,0,0
Figure 4,axes_3_y,8,0,0
Figure 5,axes_1_x,13,0,0
Figure 5,axes_1_y,8,0,2
Figure 5,axes_2_x,4,0,0
Figure 5,axes_2_y,6,0,0
Figure 5,axes_3_x,5,0,1
Figure 5,axes_3_y,6,0,0
Figure 5,axes_4_x,6,0,1
Figure 5,axes_4_y,6,0,0
Figure 6,axes_1_x,13,0,0
Figure 6,axes_1_y,2,0,0
Figure 6,axes_2_x,3,0,0
Figure 6,axes_2_y,7,0,0
Figure 6,axes_3_x,6,0,2
Figure 6,axes_3_y,8,0,0
Figure 6,axes_4_x,0,0,0
Figure 6,axes_4_y,5,0,0
