figure_id,source_path,source_sha256,source_status
Figure S1,evidence/wp09_six_block_fd_results_run1.csv,AFEC0F03C26597CD6AAF43237E9861103F1E5413309628649A9183ED94AE5B0F,FROZEN_READ_ONLY
Figure S2,evidence/wp10_i1_fd_results_run1.csv,973EE15C7CBFC373D77F8BCE5E8765C8AECDE06BEBFD34FA31AE58204C2710A6,FROZEN_READ_ONLY
Figure S3,evidence/wp10_i2_fd_results_run1.csv,637C06C9649E02BA6FC066F5B213A0D5524F607C84FE85CC22347072FDA3EBE6,FROZEN_READ_ONLY
Figure S4,evidence/wp10_i3_fd_results_run1.csv,4B7EB73F6DD069307595077E30CB2420905D62CA755785FFA9144A6352A4E36E,FROZEN_READ_ONLY
Figure S4,evidence/wp10_i3_kss_term_audit.csv,23C92F2767C998C46D77A39F4EDCF61F2A20E18AC90148C2B5EA13AFF082F9AF,FROZEN_READ_ONLY
Figure S5,evidence/wp10_i4_kpp_raw_fd_run1.csv,6D29EE97892783FA53A609084375FF7970AED60654D771E6DCE8E1CEC2A10A0F,FROZEN_READ_ONLY
Figure S5,evidence/wp10_i4_kpp_physical_fd_run1.csv,0506A5B6DFC9141821ACDC0378C77788E08A85CBD03C7E4A241545F4200C7FF0,FROZEN_READ_ONLY
Figure S5,evidence/wp10_i4_ksp_nullspace_scaling.csv,279BD500B71932577DC45C8A9F9B1D6E6901C9E050611F35DCCA6A3FE0160A66,FROZEN_READ_ONLY
Figure S6,evidence/wp10_i5_full_matrix_fd_run1.csv,7F51366541A9B2A964F400349A63C6240583B0FAC452DEF8091C92A94DDC512C,FROZEN_READ_ONLY
Figure S7,evidence/wp10_i5b_oracle_component_results.csv,0554D9860928393859B3FABAAF63E69AF5175A8374A89F71924A96A11B42218A,FROZEN_READ_ONLY
Figure S7,evidence/wp10_i5b_oracle_directional_run1.csv,0D3960C040169C4952CF10DEA892868C5E43B35071B97BA6A20B4654391CB315,FROZEN_READ_ONLY
Figure S8,evidence/wp10_i6_patch_results_run1.csv,75BCB785D781D7F8F0922C84CD641C5053DC6E73EB4F1F17F1F1650D74DAE492,FROZEN_READ_ONLY
Figure S8,evidence/wp10_i6_rollback_replay_run1.csv,C75CFD91812FAC59A3FD91C1485A6D98453BAC7636DE5C3A6B60B3F5119268A6,FROZEN_READ_ONLY
Figure S9,evidence/wp10_i6a_recomputed_order.csv,3A3AF710EF8DD5816877E5F85AB05BEF677136A4DE92857F632616ADE46A729F,FROZEN_READ_ONLY
Figure S9,evidence/wp10_i6a_binary128_order.csv,3DBB7F632262259954BDE638835F45BC6F12D2E231D9DC8B659B5FACCD95C49F,FROZEN_READ_ONLY
Figure S9,evidence/wp10_i6a_roundoff_model.csv,1E2C743A1F3DA903B02B2E763397EA4037C83DCEDBD55124BF596472CE954486,FROZEN_READ_ONLY
Figure S10,evidence/wp10_i6b_one_step_map_binary128_run1.csv,0F2FE2633B9915D88FC7BCD14A4E0D183C3DADD70C13EA4F668A9FB0D65D0DE8,FROZEN_READ_ONLY
Figure S10,evidence/wp10_i6b_local_order_slopes.csv,A344488F0B944B3BC3EC353C12B16EB5BC4806258552F703F0062850D1724E5F,FROZEN_READ_ONLY
Figure S11,evidence/wp10_i6c_r1_basin_entry_radius.csv,4AC0F298B0394FAF9C5FCFB685DEEE089601024B53CF50AA6F2C3A9F4A8B96ED,FROZEN_READ_ONLY
Figure S12,evidence/wp10_i6d_subspace_audit.csv,78C01FAAF063824B44B7FBBBD32840A60DBF0722852C01C6262903C609E7ED15,FROZEN_READ_ONLY
Figure S12,evidence/wp10_i6d_one_step_decomposition.csv,F6836E6F2198F5710405F62EFFE7CDFF541350DFCCB97DBE88AB8DC3F13A6C1F,FROZEN_READ_ONLY
