figure_id,axis_id,label_count,overlap_pair_count,outside_figure_count
Figure S1,axes_1_x,7,0,1
Figure S1,axes_1_y,10,0,1
Figure S1,axes_2_x,7,0,0
Figure S1,axes_2_y,10,0,1
Figure S1,axes_3_x,7,0,2
Figure S1,axes_3_y,6,0,2
Figure S1,axes_4_x,7,0,1
Figure S1,axes_4_y,9,0,0
Figure S1,axes_5_x,7,0,0
Figure S1,axes_5_y,12,0,0
Figure S1,axes_6_x,7,0,2
Figure S1,axes_6_y,9,0,1
Figure S2,axes_1_x,7,0,1
Figure S2,axes_1_y,11,0,1
Figure S2,axes_2_x,7,0,2
Figure S2,axes_2_y,9,0,1
Figure S3,axes_1_x,7,0,1
Figure S3,axes_1_y,11,0,2
Figure S3,axes_2_x,7,0,0
Figure S3,axes_2_y,9,0,1
Figure S3,axes_3_x,7,0,2
Figure S3,axes_3_y,10,0,1
Figure S4,axes_1_x,7,0,1
Figure S4,axes_1_y,11,0,1
Figure S4,axes_2_x,5,0,0
Figure S4,axes_2_y,11,0,2
Figure S5,axes_1_x,7,0,1
Figure S5,axes_1_y,10,0,1
Figure S5,axes_2_x,7,0,2
Figure S5,axes_2_y,9,0,1
Figure S6,axes_1_x,3,0,0
Figure S6,axes_1_y,13,0,0
Figure S6,axes_2_x,10,0,2
Figure S6,axes_2_y,10,0,0
Figure S6,axes_3_x,0,0,0
Figure S6,axes_3_y,7,0,0
Figure S7,axes_1_x,16,0,0
Figure S7,axes_1_y,7,0,2
Figure S7,axes_2_x,3,0,0
Figure S7,axes_2_y,7,0,1
Figure S8,axes_1_x,13,0,0
Figure S8,axes_1_y,5,0,4
Figure S8,axes_2_x,4,0,0
Figure S8,axes_2_y,6,0,0
Figure S9,axes_1_x,6,0,1
Figure S9,axes_1_y,6,0,1
Figure S9,axes_2_x,6,0,1
Figure S9,axes_2_y,9,0,1
Figure S10,axes_1_x,7,0,1
Figure S10,axes_1_y,10,0,1
Figure S10,axes_2_x,4,0,0
Figure S10,axes_2_y,6,0,1
Figure S11,axes_1_x,13,0,0
Figure S11,axes_1_y,2,0,0
Figure S11,axes_2_x,0,0,0
Figure S11,axes_2_y,9,0,0
Figure S12,axes_1_x,3,0,0
Figure S12,axes_1_y,7,0,1
Figure S12,axes_2_x,9,0,2
Figure S12,axes_2_y,7,0,1
