direction_id,component,field_id,field_component,scaled_component,physical_component,characteristic_scale,source_direction,seed
M1,1,u,1,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,2,u,2,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,3,p_w,1,.2886751345948129,2886751.345948129,10000000.00000000,D2,20260723
M1,4,S_n,1,.4458272494941172,.4458272494941172E-01,.1000000000000000,D3,20260723
M1,5,u,3,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,6,u,4,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,7,p_w,2,-.2886751345948129,-2886751.345948129,10000000.00000000,D2,20260723
M1,8,S_n,2,.6155965610544123E-01,.6155965610544123E-02,.1000000000000000,D3,20260723
M1,9,u,5,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,10,u,6,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,11,p_w,3,.2886751345948129,2886751.345948129,10000000.00000000,D2,20260723
M1,12,S_n,3,-.1602936386585785,-.1602936386585785E-01,.1000000000000000,D3,20260723
M1,13,u,7,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,14,u,8,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D1,20260723
M1,15,p_w,4,-.2886751345948129,-2886751.345948129,10000000.00000000,D2,20260723
M1,16,S_n,4,.3241724156797066,.3241724156797066E-01,.1000000000000000,D3,20260723
M2,1,u,1,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,2,u,2,-.2041241452319315,-.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,3,p_w,1,.2439781005892371,2439781.005892371,10000000.00000000,D3,20260723
M2,4,S_n,1,.2886751345948129,.2886751345948129E-01,.1000000000000000,D1,20260723
M2,5,u,3,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,6,u,4,-.2041241452319315,-.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,7,p_w,2,.2724656467277031,2724656.467277031,10000000.00000000,D3,20260723
M2,8,S_n,2,.2886751345948129,.2886751345948129E-01,.1000000000000000,D1,20260723
M2,9,u,5,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,10,u,6,-.2041241452319315,-.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,11,p_w,3,.9584463572960104E-01,958446.3572960105,10000000.00000000,D3,20260723
M2,12,S_n,3,.2886751345948129,.2886751345948129E-01,.1000000000000000,D1,20260723
M2,13,u,7,.2041241452319315,.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,14,u,8,-.2041241452319315,-.2041241452319315E-05,.1000000000000000E-04,D2,20260723
M2,15,p_w,4,.4363304904786234,4363304.904786235,10000000.00000000,D3,20260723
M2,16,S_n,4,.2886751345948129,.2886751345948129E-01,.1000000000000000,D1,20260723
M3,1,u,1,.8948580545678715E-01,.8948580545678716E-06,.1000000000000000E-04,D3,20260723
M3,2,u,2,-.2462156373827630,-.2462156373827630E-05,.1000000000000000E-04,D3,20260723
M3,3,p_w,1,.2886751345948129,2886751.345948129,10000000.00000000,D1,20260723
M3,4,S_n,1,.2886751345948129,.2886751345948129E-01,.1000000000000000,D2,20260723
M3,5,u,3,-.6251452700161604E-01,-.6251452700161605E-06,.1000000000000000E-04,D3,20260723
M3,6,u,4,.2041594094186132,.2041594094186133E-05,.1000000000000000E-04,D3,20260723
M3,7,p_w,2,.2886751345948129,2886751.345948129,10000000.00000000,D1,20260723
M3,8,S_n,2,-.2886751345948129,-.2886751345948129E-01,.1000000000000000,D2,20260723
M3,9,u,5,-.1191099614095596E-01,-.1191099614095596E-06,.1000000000000000E-04,D3,20260723
M3,10,u,6,-.2614054454923604,-.2614054454923604E-05,.1000000000000000E-04,D3,20260723
M3,11,p_w,3,.2886751345948129,2886751.345948129,10000000.00000000,D1,20260723
M3,12,S_n,3,.2886751345948129,.2886751345948129E-01,.1000000000000000,D2,20260723
M3,13,u,7,.3874856694133703,.3874856694133703E-05,.1000000000000000E-04,D3,20260723
M3,14,u,8,-.2223804308012635E-01,-.2223804308012635E-06,.1000000000000000E-04,D3,20260723
M3,15,p_w,4,.2886751345948129,2886751.345948129,10000000.00000000,D1,20260723
M3,16,S_n,4,-.2886751345948129,-.2886751345948129E-01,.1000000000000000,D2,20260723
